#{"t_start": 1777885270.7230506, "env_id": "None"}
r,l,t
-91.260729,58,0.67007
-73.488729,31,0.677427
-56.513978,39,0.6864
-102.781343,73,0.702793
-172.543748,68,0.719213
-63.308269,31,0.72655
-110.906675,67,0.741581
-152.96436,53,0.753775
-97.442726,40,0.763148
-96.458117,39,0.772145
-71.461854,35,0.780338
-92.42101,36,0.788652
-107.798446,69,0.804526
-149.460427,72,0.820854
-80.520821,31,0.828199
-99.664603,44,0.838262
-63.239087,42,0.848051
-81.270745,31,0.855211
-82.480294,75,0.872117
-104.897907,37,0.880797
-116.604692,53,0.893416
-78.977981,34,0.901279
-71.838477,30,0.908225
-88.130832,30,0.915163
-72.591412,34,0.923686
-86.966592,38,0.933436
-68.692667,38,0.942198
-67.496538,31,0.949489
-138.828786,52,0.961482
-83.998634,47,0.9721
-63.324947,41,0.98152
-65.028455,31,0.98898
-75.700947,32,0.996586
-92.632816,30,1.003575
-111.27272,40,1.012797
-78.248098,42,1.02241
-95.674845,41,1.031948
-115.848546,40,1.041113
-83.252355,24,1.04685
-61.460681,48,1.057609
-85.594844,40,1.067104
-72.635662,33,1.074664
-76.703087,38,1.083365
-154.000814,63,1.097614
-67.378056,24,1.103524
-164.991596,148,1.13609
-65.324481,37,1.144596
-168.930863,100,1.166502
-92.117144,41,1.176044
-119.21299,43,1.186139
-169.342399,80,1.203951
-140.82781,51,1.215444
-72.170484,40,1.224683
-98.489501,44,1.23471
-82.596862,30,1.24167
-83.478562,41,1.251052
-103.224788,40,1.260253
-73.199398,39,1.269168
-72.454832,49,1.280209
-124.001034,56,1.292881
-97.811566,34,1.300845
-331.872875,156,1.335035
-74.421492,46,1.345475
-103.61073,39,1.354289
-212.633621,137,1.384896
-82.757386,33,1.392541
-101.133212,71,1.408294
-81.796978,34,1.416453
-99.934753,40,1.425928
-62.988818,30,1.433136
-147.619904,53,1.445226
-111.392995,45,1.455464
-102.923361,41,1.464998
-185.609281,86,1.484368
-71.310507,26,1.49048
-83.96237,38,1.499196
-80.9877,36,1.507735
-80.300715,29,1.514647
-108.719638,37,1.523201
-63.486312,25,1.529108
-74.992259,34,1.537391
-91.760257,48,1.54843
-97.213052,52,1.560365
-90.764035,36,1.568705
-100.396014,38,1.577686
-71.380895,42,1.587436
-97.340612,36,1.59583
-126.717989,65,1.610543
-84.267717,32,1.618866
-84.827286,25,1.625256
-86.149686,57,1.638158
-83.288921,42,1.647914
-83.712186,29,1.654921
-80.472339,39,1.664113
-67.507385,44,1.674287
-130.299664,60,1.687861
-90.719091,43,1.697995
-64.603399,29,1.704799
-113.582162,76,1.721791
-67.793204,48,1.732929
-66.438219,80,1.751324
-110.0578,76,1.768655
-100.989843,38,1.777552
-73.629256,27,1.783918
-141.46329,103,1.807185
-83.613664,37,2.224645
-77.321815,25,2.349994
-114.441665,50,2.600323
-207.022271,154,3.364085
-89.959172,42,3.573871
-74.402659,33,3.767771
-82.508007,34,3.953611
-98.135858,40,4.167213
-217.525772,84,4.600169
-70.860833,43,4.845716
-213.53491,100,5.428438
-91.017677,30,5.619674
-73.830148,42,5.853526
-91.710788,44,6.101312
-282.289134,128,6.81546
-81.376956,30,6.978289
-89.754721,39,7.187584
-85.815246,34,7.376086
-80.423355,24,7.507069
-180.368197,75,7.902736
-262.122506,167,8.798426
-63.41267,33,8.96454
-74.354345,41,9.167351
-129.550351,80,9.577639
-107.308804,47,9.814615
-108.77963,82,10.247598
-118.954583,52,10.523144
-89.468922,38,10.731473
-99.930587,38,10.921213
-186.948625,114,11.555348
-520.78123,275,12.957124
-224.887097,95,13.433767
-188.879168,145,14.17863
-338.427979,282,15.592763
-235.528084,287,17.039346
-187.122864,68,17.391193
-206.487846,225,18.549208
123.011946,281,19.978032
-172.818649,1200,26.172633
281.659046,1200,32.491288
-181.176555,125,33.105165
152.525666,278,34.462481
-28.859826,306,36.002362
113.93928,248,37.287835
107.542933,323,38.917007
-184.754424,227,40.046455
303.597938,1200,45.982924
364.093516,1200,51.99326
68.91858,339,53.729623
378.294849,1200,59.733026
147.220146,265,61.183429
155.785114,310,62.824692
53.453742,342,64.627503
337.866509,1200,70.835732
43.667962,338,72.622836
385.564193,1200,78.87726
174.933018,281,80.372948
94.965453,337,82.213412
295.84457,1200,88.585684
123.181747,252,89.911592
263.85906,1200,96.056209
183.109177,1200,102.11045
72.319635,251,103.366703
258.770938,1200,109.702901
257.83779,1200,116.071848
47.491565,235,117.223027
68.485338,292,118.673425
97.723038,301,120.205938
91.385211,255,121.45832
407.189718,1200,127.349224
67.962774,234,128.50056
79.939565,320,130.091695
185.090669,1200,135.996884
82.398133,323,137.570858
-273.24864,190,138.49318
424.318063,1200,144.408055
145.852206,285,145.802851
148.781578,313,147.343811
307.829771,1200,153.279644
460.119271,1200,159.144078
-155.697241,171,159.984598
149.249177,300,161.46143
415.531596,1200,167.357941
507.585832,1200,173.288579
134.120361,300,174.768206
136.782651,266,176.069089
141.074273,321,177.66695
377.580057,1200,183.623919
62.553567,302,185.100517
422.742812,1200,191.073266
518.53989,1200,196.969069
135.85633,278,198.339251
142.619361,282,199.725194
589.724697,1200,205.606839
-140.630925,241,206.786225
99.756093,297,208.256739
436.949223,1200,214.169144
168.984086,240,215.338159
161.15679,342,217.001922
161.132562,257,218.257302
164.727591,243,219.525388
436.621932,1200,225.496123
508.183918,1200,231.383854
116.445983,307,232.912338
-132.59231,247,234.126762
122.47807,317,235.670804
163.821669,246,236.866488
560.393043,1200,242.773864
572.447352,1200,248.748661
164.740476,339,250.419225
28.434382,295,251.871377
148.056921,251,253.089571
146.378177,288,254.505179
500.5632,1200,260.438506
513.998819,1200,266.40919
-104.426893,74,266.78364
509.618184,1200,272.784572
417.463867,1200,278.756466
131.857824,249,279.995046
-95.779268,89,280.488879
-119.439877,60,280.839681
102.060183,306,282.539432
143.106699,280,284.031927
470.852602,1200,290.479351
577.752652,1200,296.758012
59.624256,299,298.42401
131.865117,318,300.211681
115.245465,279,301.593847
157.638201,333,303.386038
109.15215,282,304.953569
491.334318,1200,311.005369
136.764781,255,312.253617
524.929421,1200,318.160438
104.053698,305,319.724569
155.08392,343,321.472428
88.647333,299,323.044412
