controller,scenario,path,rmse_m,max_abs_error_m,steer_rate_std_rad_s,avg_decision_time_ms,steps
PID_Stanley,nominal,double_lane_change,0.47914308845120607,1.0796742025374522,0.0754321527590538,0.006774011234850136,268
SAC,nominal,double_lane_change,0.41084690247392763,0.8928371821791455,1.5425982165384609,0.6574156547178015,267
PID_Stanley,nominal,snake,2.5284938103048495,3.900959095024415,0.19417199114534972,0.006818034472094188,310
SAC,nominal,snake,0.6538929258147673,1.501470414657662,1.5789307347106891,0.34621221178451106,299
PID_Stanley,nominal,circle,1.9910301018830336,2.0866373402797875,0.05088719565900596,0.006814292040265475,1200
SAC,nominal,circle,0.7838569514588666,1.2445061606740304,1.8214009549723806,0.347442161582876,1200
PID_Stanley,low_mu,double_lane_change,0.47914308845120607,1.0796742025374522,0.0754321527590538,0.006796536405063443,268
SAC,low_mu,double_lane_change,0.39286101770406323,0.7866803688622498,1.5506898850059476,0.375048898348815,267
PID_Stanley,low_mu,snake,2.6140877354516023,5.009213696691274,0.178014739980029,0.006943980224605184,96
SAC,low_mu,snake,0.7498968266922659,1.7449502835799373,1.48284694162157,0.3669141065135288,300
PID_Stanley,low_mu,circle,1.9910301018830336,2.0866373402797875,0.05088719565900596,0.007758747475842634,1200
SAC,low_mu,circle,0.773341732523567,1.2546650083066668,1.807655895022573,0.35777010144859867,1200
PID_Stanley,side_wind,double_lane_change,0.4820652906681277,1.0367947592481885,0.0754188672854219,0.006769750347194165,268
SAC,side_wind,double_lane_change,0.39997337113696446,0.7644382304243382,1.540823592057627,0.4868239555891589,267
PID_Stanley,side_wind,snake,2.5312656466149472,3.9673887519080075,0.1943671631962542,0.0069028166528310505,310
SAC,side_wind,snake,0.6553735443586377,1.4837729443687153,1.5485517503373987,0.3384749536880644,299
PID_Stanley,side_wind,circle,1.9576251120485604,2.048719614988588,0.05088347567729178,0.006810739020390126,1200
SAC,side_wind,circle,0.8084241907471673,1.3226312326330218,1.8498767964811167,0.34671194177159725,1200
PID_Stanley,speed_change,double_lane_change,0.5978508860998711,1.2957766690640518,0.08845360221840144,0.006816634841367219,233
SAC,speed_change,double_lane_change,1.1414182108957438,2.282144061833387,1.6884061227019143,0.337895275904508,232
PID_Stanley,speed_change,snake,3.0062889728907685,5.093613227460167,0.21626653939820695,0.013134553776044085,83
SAC,speed_change,snake,1.5207012029646807,5.202793043394532,1.8980382094816535,0.3665667737368494,75
PID_Stanley,speed_change,circle,2.639331378110377,2.785255035058431,0.07628293245908473,0.0073343919454297675,1200
SAC,speed_change,circle,0.6110779370967817,1.2386458472484947,1.8912286925957082,0.3588020080011726,1200
